acorregir,reemplazar
sombreros de paño para hombres y niños,sombreros de paño para hombre
sombreros de paño para niño,sombreros de paño para hombre
sombreros de paño y fieltro para hombres niños,sombreros de paño para hombre
sombreros de paños para hombres y niños,sombreros de paño para hombre
sombreros para señoras y niñas,sombreros para mujer
sombreros sin armar,sombreros sin confeccion
sombrillas mezcla,sombrillas de seda mezcla
sulfato de hieroo,sulfato de hierro
sulfato y nitrato de potasas,sulfato y nitrato de potasa
sumo de uva,zumo de uva
tabaco en tablillas,tabaco en tablillas para mascar
tabaco para mascar en tablillas,tabaco en tablillas para mascar
tabaco para masticar en tablillas,tabaco en tablillas para mascar
tabacos en rama bahia,tabaco en rama bahia
tabacos en rama filipino,tabaco en rama filipino
tabacos en rama habano,tabaco en rama habano
tabacos en rama hamburgues,tabaco en rama hamburgues
tabacos en rama negro,tabaco en rama negro
tabacos en rama paraguayo,tabaco en rama paraguayo
tabacos en rama puerto rico,tabaco en rama puerto rico
tabacos en rama rio grande,tabaco en rama rio grande
tabacos en rama sumatra,tabaco en rama sumatra
tabacos en rama virginia,tabaco en rama virginia
tabacos picados caporal,tabaco picados caporal
tabacos picados habano,tabaco picados habano
tabacos picados negro,tabaco picados negro
tabacos picados paraguayo,tabaco picados paraguayo
tabacos picados virginia,tabaco picados virginia
talabarteria,talabarteria (articulos de)
talbarteria (articulos de),talabarteria (articulos de)
tapiceria,tapiceria (articulos de)
tapiceria (articulos),tapiceria (articulos de)
tejas de palmas,tejas de palma
tejiddos de punto de hilo,telas de punto de hilo
tejido de hilo con ramio,telas de hilo con ramio
tejidos,telas
tejidos algodon y ramio,telas de algodon con ramio
tejidos con ramio,telas con ramio
tejidos de algodon,telas de algodon
tejidos de algodon con ramio,telas de algodon con ramio
tejidos de hilo,telas de hilo
tejidos de hilo con ramio,telas de hilo con ramio
tejidos de hilo mezcla,telas de hilo mezcla
tejidos de hilo mezcla con ramio,telas de hilo mezcla con ramio
tejidos de lana,telas de lana
tejidos de lana mezcla,telas de lana mezcla
tejidos de punto de algodon,telas de punto de algodon
tejidos de punto de lana,telas de punto de lana
tejidos de punto de lana mezcla,telas de punto de lana mezcla
tejidos de punto de lana y ramio,telas de punto de lana con ramio
tejidos de seda,telas de seda
tejidos de seda del japon,telas de seda del japon
tejidos de seda mezcla,telas de seda mezcla
tejidos de seda mezcla y ramio,telas de seda mezcla y ramio
tierra para clarificar,tierra para clarificar vinos
tierra refranctaria,tierra refractaria
tierra refrantaria,tierra refractaria
tinta de imprenta,tinta para imprenta
tipografia,tipografia (articulos de)
tipografia (articulos),tipografia (articulos de)
tipografia articulos,tipografia (articulos de)
tipos,tipos para imprenta
tipos de imprenta,tipos para imprenta
tirantes (madera),tirantes
tirantes de fierro,tirantes de hierro
toallas (hilo),toallas de hilo
toallas mezcla (hilo),toallas de hilo mezcla
trencilla,trencillas sin especificar
trencilla  de seda mezcla,trencillas  de seda mezcla
trencilla (seda),trencillas de seda
trencilla de algodon,trencillas de algodon
trencilla de algodon mezcla,trencillas de algodon mezcla
trencilla de lana,trencillas de lana
trencilla de lana mezcla,trencillas de lana mezcla
trencilla de seda,trencillas de seda
trencilla de seda mezcla,trencillas de seda mezcla
trencilla mezcla,trencillas mezcla
trencilla mezcla (seda),trencillas de seda mezcla
trencillas,trencillas sin especificar
tricots de algodon y ramio,tricots de algodon con ramio
trozos,trozos de madera
trozos (madera),trozos de madera
tutores para viña,tutores para viñas
utiles y articulos de imprenta,utiles y articulos para imprenta
vaquetes charoladas,vaquetas charoladas
varas para saladeros,varas para saladero
varias materias y materiales libres de derecho para la industria,varios articulos libres de derecho
varias materias y materiales libres de derecho para las industrias,varios articulos libres de derecho
varias materias y materiales libres de derechos para la industria,varios articulos libres de derecho
varios articulos (libres de derecho),varios articulos libres de derecho
varios articulos de sombrereria,sombrereria (articulos de)
varios articulos de sombreria,sombrereria (articulos de)
varios articulos libres de derecho,varios articulos libres de derecho
varios articulos navales,navales (articulos de)
"varios articulos y materiales (libres de derecho) para telefonos, aguas corrientes, luz electrica, caños maestros, culto, ferrocarriles, legaciones, establecimientos de beneficencia, tranvias, telegrafos, mercado de frutos, destileria, oficinas publicas, ejercito nacional, etc. etc.",varios articulos libres de derecho
"varios articulos y materiales libres de derecho para telegrafos, telefonos, ferro-carriles, tranvias, aguas corrientes, valizamiento, minas de oro, usinas de gas, legaciones, establecimientos de beneficencia, escuadra y ejercito nacional, etc, etc.",varios articulos libres de derecho
"varios articulos y materiales libres de derecho para telegrafos, telefonos, ferrocarriles, tranvias, aguas corrientes, valizamiento, minas de orom usina de gas, legaciones, establecimientos de beneficencia, etc.",varios articulos libres de derecho
"varios articulos y materiales libres de derechos para telegrafos, telefonos, ferrocarriles, tranvias, aguas corrientes, valizamieto, minas de oro, usina de gas, legaciones, establecimientos de beneficencia, escuadra y ejercito nacional, etc.",varios articulos libres de derecho
velas de cebo,velas de sebo
velas de estearina,velas estearinas
velas parafinas,velas de parafina
vidrieria,vidrieria (articulos de)
vidrieria (articulos),vidrieria (articulos de)
vidrieria articulos,vidrieria (articulos de)
vidrio para piso,vidrios para piso
vidrios (articulos de),vidrio (articulos de)
vidrios para claraboyas,vidrios para claraboya
vino embotellado,vino embotellado (de toda clase)
wagones,vagones
wagones para tran-vias,vagones para tranvias
wagones para tranvias,vagones para tranvias
whysky,whisky
wiskey,whisky
yeguarizo charolado,yeguarizos charolados
yerba en hoja,yerba mate en hoja
zapateria,zapateria (articulos de)
zumo de limas,zumo de lima
zumo de uvas,zumo de uva
